Products with Zero (£0.00) or No Price
Generated: 2025-10-06 11:46:36
================================================================================

SUMMARY:
Total Parts in database: 5824
Total PricingData records: 5339
Products with £0.00 price: 0
Products with NULL/missing price: 0
Parts with no pricing data: 485
Total problematic records: 485
Unique problematic parts: 309
Duplicate records: 176

PARTS WITH NO PRICING DATA - 309 parts:
Part Number          Description                                       
C00097422-4100       PANEL-B/PILLAR CONNECTOR                          
C00097464-4100       PANEL ASSEMBLY-SILL INNER                         
C00097465-4100       PANEL ASSEMBLY-SILL INNER                         
C00097467-4100       PEDAL ASSEMBLY-SLD                                
C00097474-4100       PANEL-FRONT ROOF OUTER                            
C00097475-4100       PANEL-ROOF CENTER/CENTRE OUTER                    
C00098037-4100       PANEL-REAR FLOOR CENTER/CENTRE                    
C00098097-4100       PANEL-MID FLOOR                                   
C00098199-4100       PANEL-B/PILLAR CONNECTOR                          
C00099102-4100       PANEL-CENTER PILLAR LOWER INNER                   
C00099103-4100       PANEL-CENTER PILLAR LOWER INNER                   
C00100189-A136       PLATE ASSEMBLY-B/PILLAR UPPER TRIM                
C00101866            PIPE-EXHAUST TAIL                                 
C00102212            BRACKET-BODY CONTROL MODULE                       
C00102252            BRACKET-CLUTCH PIPE TO BD                         
C00102581-4100       PLATE-BODY CENTER PILLAR INNER                    
C00103428            OIL-REAR AXLE ASSEMBLY                            
C00103546            SLEEVE-WIPER MOTOR                                
C00105000            PIPE ASSEMBLY-REAR BRK(CTR)                       
C00105003            PIPE ASSEMBLY-REAR BRK(CTR)                       
C00105102            PLATE-H/BRAKE COVER FRONT UPPER                   
C00105336            PIPE ASSEMBLY-REAR BRK(CTR)                       
C00105340            PIPE ASSEMBLY-REAR BRK(CTR)                       
C00105979-4100       PLATE ASSEMBLY-QUARTER INNER LOWER                
C00106878-4100       LONGITUDINAL ASSEMBLY-REAR                        
C00106879-4100       LONGITUDINAL ASSEMBLY-REAR                        
C00106909            CLIP NUT-IP BODY                                  
C00106920            BOLT/SCREW-INSTRUMENT PANEL BODY                  
C00109185-4100       REINFORCEMENT ASSEMBLY-B/PILLAR                   
C00109668            PANEL-FRONT SIDE PANEL INNER TRIM                 
C00110318            CLIP-CONSOLE PLATE ASSEMBLY LOWER                 
C00110325            CLIP-INSTRUMENT PANEL SHINING STRIP ASSEMBLY      
C00112280-F014       COVER-FRONT SEAT BELT D LOOP GUIDE                
C00112356-4100       PANEL ASSEMBLY-UPPER BULKHEAD EXTENSION           
C00112461-4100       PANEL ASSEMBLY-UPPER BULKHEAD                     
C00113644            BRACKET ASSEMBLY-UPPER MUDGUARD                   
C00117852-4100       REINFORCEMENT ASSEMBLY-CENTER PILLAR              
C00117991            PANEL-REAR SIDE PANEL INNER TRIM                  
C00117992            PANEL-REAR SIDE PANEL INNER TRIM                  
C00118331-4100       PANEL ASSEMBLY-C PILLAR  OUTER                    
C00119242            BOLT-EXHAUST GAS RECIRCULATION INLET & OUTLET...  
C00120457            CLIP-BRAKE PIPE TRIPORATE                         
C00123939            BRACKET-GATEWAY                                   
C00128220            HEAT SHIELD-ENGINE EXHAUST                        
C00128471            HOUSING ASSEMBLY-REDUCER                          
C00128487            COVER-DIFFERENTIAL                                
C00134447-4100       PANEL-REAR ROOF CROSS MEMBER INNER                
C00137544            SHELD-ENGINE RIGHT HAND FRONT MOUNTING            
C00140715-4100       PANEL-B/PILLAR CONNECTOR                          
C00140731-4100       PANEL-B/PILLAR CONNECTOR                          
C00143480            PIPE-WINDSHIELD COVER PANEL OUTLET                
